batch,data_point,value
Batch_1,0,0.03110755575180902
Batch_1,1,0.07314894950714225
Batch_1,2,0.0
Batch_1,3,0.0
Batch_1,4,0.07584733681782434
Batch_1,5,0.03685879434118867
Batch_1,6,0.0
Batch_1,7,0.026058384256802215
Batch_1,8,0.0
Batch_1,9,0.0
Batch_1,10,0.011621102443231137
Batch_1,11,0.0
Batch_1,12,0.0
Batch_1,13,0.0
Batch_1,14,0.0
Batch_1,15,0.01509285071993202
Batch_1,16,0.0
Batch_1,17,0.0
Batch_1,18,0.07039301780064765
Batch_1,19,0.0
Batch_1,20,0.003243283258198693
Batch_1,21,0.0
Batch_1,22,0.0
Batch_1,23,0.005327453614746942
Batch_1,24,0.0
Batch_1,25,0.018044239420700138
Batch_1,26,0.0
Batch_1,27,0.0
Batch_1,28,0.0
Batch_1,29,0.08896227662363472
Batch_1,30,0.0
Batch_1,31,0.0
Batch_1,32,0.03950565774507944
Batch_1,33,0.0
Batch_1,34,0.01003142026441666
Batch_1,35,0.0
Batch_1,36,0.0
Batch_1,37,0.009454964091423742
Batch_1,38,0.03546749549624369
Batch_1,39,0.008230573875586997
Batch_1,40,0.0
Batch_1,41,0.0
Batch_1,42,0.0
Batch_1,43,0.0
Batch_1,44,0.0
Batch_1,45,0.05077207122579808
Batch_1,46,0.016503495849158275
Batch_1,47,0.0
Batch_1,48,0.015565290341217751
Batch_1,49,0.0
Batch_1,50,0.0
Batch_1,51,0.029377938836118167
Batch_1,52,0.04951743506250722
Batch_1,53,0.044728054491918016
Batch_1,54,0.0
Batch_1,55,0.0
Batch_1,56,0.015910109651067966
Batch_1,57,0.04685403962737188
Batch_1,58,0.0
Batch_1,59,0.0
Batch_1,60,0.0
Batch_1,61,0.0
Batch_1,62,0.03902445517104785
Batch_1,63,0.06513827220923123
Batch_1,64,0.0
Batch_1,65,0.0481982522980782
Batch_1,66,0.017368861959516365
Batch_1,67,0.0
Batch_1,68,0.017357314952305077
Batch_1,69,0.07386970036549101
Batch_1,70,0.0
Batch_1,71,0.07514760087877559
Batch_1,72,0.0
Batch_1,73,0.0394748038190988
Batch_1,74,0.004180746406584501
Batch_1,75,0.0
Batch_1,76,0.0044071390861384376
Batch_1,77,0.0
Batch_1,78,0.0
Batch_1,79,0.01715160694451953
Batch_1,80,0.0709811409151662
Batch_1,81,0.0
Batch_1,82,0.0
Batch_1,83,0.0
Batch_1,84,0.04396545675371257
Batch_1,85,0.015789446424660732
Batch_1,86,0.0
Batch_1,87,0.024651501998140056
Batch_1,88,0.004662496093336269
Batch_1,89,0.04652263591860552
Batch_1,90,0.0
Batch_1,91,0.0
Batch_1,92,0.0
Batch_1,93,0.0
Batch_1,94,0.014222234123580185
Batch_1,95,0.012538112002805107
Batch_1,96,0.00024559202183238474
Batch_1,97,0.0
Batch_1,98,0.0
Batch_1,99,0.0
Batch_1,100,0.0
Batch_1,101,0.0
Batch_1,102,0.0
Batch_1,103,0.019405985771776033
Batch_1,104,0.09059081584528657
Batch_1,105,0.008384723097957666
Batch_1,106,0.012369777550491458
Batch_1,107,0.0
Batch_1,108,0.0
Batch_1,109,0.0
Batch_1,110,0.002892770990170528
Batch_1,111,0.11830600178449868
Batch_1,112,0.0
Batch_1,113,0.014482888319994282
Batch_1,114,0.0
Batch_1,115,0.0
Batch_1,116,0.054888148123193245
